IEIN,LocalTeacherID,LastName,FirstName,BirthDate,SchoolYear,ServingLocationRCDTS,EmployerRCDTS,Term,StateCourseCode,LocalCourseID,LocalCourseTitle,SectionNumber,TeacherCourseStartDate,EISPositionCode,TeacherCommitment
374529,804678,Bernard,Jorge,11/5/1990,2019,15016299025068C,15016299025068C,S1,04051A000,,,World History-Overview,08/20/2018,201,1.00
,209517,Lozano,Edward,6/14/1962,2019,15016299025085C,15016299025085C,Q1,03151A000,,,Physics,08/20/2018,205,1.00
369472,280726,Rios,Teagan,11/20/1971,2019,15016299025059C,15016299025059C,S1,21051A000,,,Technological Literacy,01/21/2018,200,1.00
509509,251432,Morris,Noel,6/11/1962,2019,15016299025068C,15016299025068C,S1,02051A000,,,Pre-Algebra,01/13/2018,200,0.36
922488,303080,Fernandez,Dominique,1/20/1982,2019,15016299025266C,15016299025266C,Y1,01001A000,,,English/Language Arts I (9th grade),08/20/2018,200,1.00
689032,344652,Garrison,Benjamin,9/1/1974,2019,15016299025068C,15016299025068C,S1,01151A000,,,Public Speaking,08/20/2018,200,1.00
,741077,Terrell,Jaron,9/28/1977,2019,15016299025284C,15016299025284C,S1,02101A000,,,Number Theory,01/07/2018,200,1.00
34560,254873,Andrews,Malcolm,1/19/1990,2019,15016299025068C,15016299025068C,S1,17101A000,,,Exploration of Electricity/Electronics,08/20/2018,205,1.00
,810579,Gamble,Callum,9/19/1989,2019,15016299025276C,15016299025276C,S1,09051A000,,,Army Junior ROTC I,08/20/2018,200,1.00
548398,228275,Walls,Nathen,11/1/1964,2019,15016299025059C,15016299025059C,S1,04001A000,,,World Geography,8/20/2018,200,1
306780,dkelly,Kelly,Donavan,4/18/1969,2019,15016299025068C,15016299025068C,S1,03101A000,,,Chemistry,08/20/2018,200,1.00
414712,352448,Cochran,Carl,4/8/1934,2019,15016299025276C,15016299025276C,S1,02133A000,,,IB Mathematics and Computing-SL,08/20/2018,200,1
,,,,,2019,15016299025273C,15016299025273C,2,10151A000,,,Business Programming,,,
