,IEIN,LocalTeacherID,LastName,FirstName,BirthDate,SchoolYear,ServingLocationRCDTS,EmployerRCDTS,Term,StateCourseCode,SectionNumber,TeacherCourseStartDate,EISPositionCode,TeacherCommitment,Network
0,374529.0,804678,Bernard,Jorge,11/05/1990,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,08/20/2018,201.0,1.0,Options
1,369472.0,280726,Rios,Teagan,11/20/1971,2019,15016299025059C,15016299025059C,S1,21051A000,Technological Literacy,01/21/2018,200.0,1.0,Options
2,509509.0,251432,Morris,Noel,06/11/1962,2019,15016299025068C,15016299025068C,S1,02051A000,Pre-Algebra,01/13/2018,200.0,0.36,Options
3,922488.0,303080,Fernandez,Dominique,01/20/1982,2019,15016299025266C,15016299025266C,Y1,01001A000,English/Language Arts I (9th grade),08/20/2018,200.0,1.0,Charter
4,689032.0,344652,Garrison,Benjamin,09/01/1974,2019,15016299025068C,15016299025068C,S1,01151A000,Public Speaking,08/20/2018,200.0,1.0,Options
5,548398.0,228275,Walls,Nathen,11/01/1964,2019,15016299025059C,15016299025059C,S1,04001A000,World Geography,08/20/2018,200.0,1.0,Options
6,414712.0,352448,Cochran,Carl,04/08/1934,2019,15016299025276C,15016299025276C,S1,02133A000,IB Mathematics and Computing-SL,08/20/2018,200.0,1.0,Charter
7,866618.0,639272,Duffy,Lamar,11/18/1970,2019,15016299025068C,15016299025068C,S1,04051A000,World History-Overview,02/11/2018,200.0,1.0,Options
8,171578.0,717956,Soto,Roland,08/14/1982,2019,15016299025068C,15016299025068C,S1,16001A000,Exploration of Hospitality Careers,08/20/2018,200.0,1.0,Options
9,443020.0,460113,Dodson,Desmond,04/06/1966,2019,15016299025068C,15016299025068C,S1,08001A000,Physical Education,08/20/2018,200.0,1.0,Options
10,611044.0,652417,Daniels,Grady,03/11/1970,2019,15016299025262C,15016299025262C,S1,02101A000,Number Theory,08/20/2018,201.0,1.0,Charter
11,732701.0,535618,Cortez,Dexter,08/10/1990,2019,15016299025054C,15016299025054C,Y1,09151A000,Air Force Junior ROTC I,08/20/2018,200.0,1.0,Options
12,288918.0,785030,Hanson,Konnor,09/17/1975,2019,15016299025068C,15016299025068C,S1,21001A000,Pre-Engineering Technology,01/23/2018,200.0,1.0,Options
13,332218.0,111114,Webb,Ismael,08/15/1965,2019,15016299025068C,15016299025068C,Y1,12001A000,Business/Office Career Exploration,08/18/2018,200.0,1.0,Options
14,267788.0,219987,Moses,Pedro,11/15/1971,2019,15016299025285C,15016299025285C,S1,11051A000,Audio/Visual Production,02/01/2018,200.0,1.0,Charter
